skill	source	path	action
ai-slop-cleaner	codex	/home/deadpool/.codex/skills/ai-slop-cleaner	duplicate-skipped
analyze	codex	/home/deadpool/.codex/skills/analyze	duplicate-skipped
ask-claude	codex	/home/deadpool/.codex/skills/ask-claude	duplicate-skipped
ask-gemini	codex	/home/deadpool/.codex/skills/ask-gemini	duplicate-skipped
autopilot	codex	/home/deadpool/.codex/skills/autopilot	duplicate-skipped
autoresearch	codex	/home/deadpool/.codex/skills/autoresearch	duplicate-skipped
building-admin-dashboard-customizations	codex	/home/deadpool/.codex/skills/building-admin-dashboard-customizations	duplicate-skipped
building-storefronts	codex	/home/deadpool/.codex/skills/building-storefronts	duplicate-skipped
building-with-medusa	codex	/home/deadpool/.codex/skills/building-with-medusa	duplicate-skipped
cancel	codex	/home/deadpool/.codex/skills/cancel	duplicate-skipped
code-review	codex	/home/deadpool/.codex/skills/code-review	duplicate-skipped
configure-notifications	codex	/home/deadpool/.codex/skills/configure-notifications	duplicate-skipped
coolify	codex	/home/deadpool/.codex/skills/coolify	duplicate-skipped
creating-internal-agents	codex	/home/deadpool/.codex/skills/creating-internal-agents	duplicate-skipped
db-generate	codex	/home/deadpool/.codex/skills/db-generate	duplicate-skipped
db-migrate	codex	/home/deadpool/.codex/skills/db-migrate	duplicate-skipped
deep-interview	codex	/home/deadpool/.codex/skills/deep-interview	duplicate-skipped
defuddle	codex	/home/deadpool/.codex/skills/defuddle	duplicate-skipped
doc	codex	/home/deadpool/.codex/skills/doc	duplicate-skipped
doctor	codex	/home/deadpool/.codex/skills/doctor	duplicate-skipped
flight-search	codex	/home/deadpool/.codex/skills/flight-search	duplicate-skipped
gh-fix-ci	codex	/home/deadpool/.codex/skills/gh-fix-ci	duplicate-skipped
gh-submodule-publish	codex	/home/deadpool/.codex/skills/gh-submodule-publish	duplicate-skipped
gitguardex	codex	/home/deadpool/.codex/skills/gitguardex	duplicate-skipped
github	codex	/home/deadpool/.codex/skills/github	duplicate-skipped
guardex-merge-skills-to-dev	codex	/home/deadpool/.codex/skills/guardex-merge-skills-to-dev	duplicate-skipped
help	codex	/home/deadpool/.codex/skills/help	duplicate-skipped
hud	codex	/home/deadpool/.codex/skills/hud	duplicate-skipped
json-canvas	codex	/home/deadpool/.codex/skills/json-canvas	duplicate-skipped
medusa-reference	codex	/home/deadpool/.codex/skills/medusa-reference	duplicate-skipped
myvps	codex	/home/deadpool/.codex/skills/myvps	duplicate-skipped
new-user	codex	/home/deadpool/.codex/skills/new-user	duplicate-skipped
note	codex	/home/deadpool/.codex/skills/note	duplicate-skipped
obsidian-bases	codex	/home/deadpool/.codex/skills/obsidian-bases	duplicate-skipped
obsidian-cli	codex	/home/deadpool/.codex/skills/obsidian-cli	duplicate-skipped
obsidian-markdown	codex	/home/deadpool/.codex/skills/obsidian-markdown	duplicate-skipped
omx-setup	codex	/home/deadpool/.codex/skills/omx-setup	duplicate-skipped
openai-docs	codex	/home/deadpool/.codex/skills/openai-docs	duplicate-skipped
pdf	codex	/home/deadpool/.codex/skills/pdf	duplicate-skipped
